,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
215,1945-11-23,41.17043778657118,23.456062433264243,31.99396302304182,-1.5133333333333334,0.17073333333333332,101.0,0.0
216,1945-11-24,40.23710445323785,22.689395766597574,30.827296356375154,-1.5350000000000001,0.1692,101.0,0.0
217,1945-11-25,39.33710445323785,22.22272909993091,29.727296356375156,-1.5566666666666666,0.16766666666666666,101.0,0.0
218,1945-11-26,38.103771119904515,21.322729099930907,28.460629689708487,-1.5783333333333334,0.16613333333333333,104.0,0.24
219,1945-11-27,36.603771119904515,20.25606243326424,27.260629689708487,-1.6,0.1646,104.0,0.0
220,1945-11-28,35.73710445323785,19.489395766597575,26.36062968970849,-1.6216666666666666,0.16306666666666667,104.0,0.0
221,1945-11-29,34.93710445323784,18.989395766597575,25.49396302304182,-1.6433333333333333,0.16153333333333333,104.0,0.0
222,1945-11-30,33.57043778657118,17.75606243326424,23.99396302304182,-1.665,0.15999999999999998,107.5,0.23
223,1945-12-01,33.141702154387275,17.35951070912631,23.46566113624937,-1.6866666666666668,0.15846666666666664,103.5,0.17
224,1945-12-02,32.75894353369762,16.930200364298727,22.957164404223228,-1.7083333333333335,0.1569333333333333,100.5,0.0
225,1945-12-03,32.653387978142064,16.655755919854283,22.645625942684767,-1.73,0.15539999999999998,100.3,0.0
226,1945-12-04,32.78617486338796,16.53826958105647,22.819343891402713,-1.7516666666666667,0.15386666666666665,100.3,0.0
227,1945-12-05,32.79617486338796,16.50382513661202,22.61346153846154,-1.7733333333333334,0.15233333333333332,100.3,0.0
228,1945-12-06,32.36666666666665,16.166666666666664,22.1,-1.795,0.1508,101.3,0.0
229,1945-12-07,33.03333333333332,16.133333333333333,22.466666666666665,-1.8166666666666667,0.14926666666666666,89.2,0.09
230,1945-12-08,33.399999999999984,16.2,22.5,-1.8383333333333334,0.14773333333333333,89.2,0.51
231,1945-12-09,33.36666666666665,15.899999999999999,22.166666666666668,-1.8599999999999999,0.1462,89.10000000000001,0.17
232,1945-12-10,32.933333333333316,15.499999999999998,21.7,-1.8816666666666668,0.14466666666666667,84.2,0.0
233,1945-12-11,32.73333333333332,15.099999999999998,21.3,-1.9033333333333333,0.1431333333333333,79.0,0.05
234,1945-12-12,32.63333333333332,14.633333333333331,20.866666666666667,-1.925,0.14159999999999998,67.5,0.0
235,1945-12-13,32.499999999999986,13.999999999999998,20.3,-1.9466666666666668,0.14006666666666664,56.5,0.0
